ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521032,6.489736,4.611081,4.58892,15.98892,0.2652124,3.105151,0.1063887,ACCELERATE
-1,6.520945,6.48982,4.611094,4.588908,15.98892,0.2733854,3.105032,0.2127827,ACCELERATE
-1,6.52093,6.489832,4.611088,4.588913,15.98892,0.2752326,3.105014,0.3030317,ACCELERATE
-1,6.520922,6.489841,4.611081,4.58892,15.98893,0.2756749,3.105012,0.4008338,ACCELERATE
-1,6.520915,6.48985,4.611075,4.588926,15.98893,0.2757417,3.105012,0.5024486,ACCELERATE
-1,6.520905,6.489856,4.611071,4.588931,15.98894,0.2757455,3.105012,0.606883,ACCELERATE
-1,6.520902,6.489863,4.611066,4.588935,15.98894,0.2757442,3.105013,0.7037138,ACCELERATE
-1,6.520892,6.48987,4.611061,4.58894,15.98895,0.2757433,3.105013,0.8042287,ACCELERATE
-1,6.520886,6.489875,4.611057,4.588944,15.98895,0.2757432,3.105013,0.9045221,ACCELERATE
-1,6.520883,6.489882,4.611053,4.588949,15.98896,0.2757432,3.105013,1.002273,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757433,3.105013,1.102391,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105013,1.210854,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.275743,3.105013,1.301416,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757434,3.105013,1.400624,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105013,1.503658,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,1.604619,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,1.70376,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,1.800808,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757433,3.105013,1.9002,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,2.002384,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105013,2.102276,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,2.203071,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,2.300461,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105014,2.405679,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105013,2.503729,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757433,3.105013,2.600087,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,2.704803,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757435,3.105013,2.8065,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757435,3.105013,2.900008,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,3.000175,ACCELERATE
-1,6.520905,6.489862,4.611048,4.588953,15.98896,0.2757261,3.145772,3.103589,ACCELERATE
-1,6.52096,6.489809,4.611039,4.588962,15.98897,0.2757057,3.320944,3.20053,ACCELERATE
-1,6.52103,6.489737,4.611033,4.588968,15.98898,0.2756982,3.641982,3.300929,ACCELERATE
-1,6.521177,6.489593,4.611007,4.588995,15.98897,0.2846091,4.111673,3.405046,ACCELERATE
-1,6.521418,6.489351,4.611076,4.588925,15.98893,0.2783826,4.678184,3.504082,ACCELERATE
-1,6.52154,6.489226,4.611134,4.588868,15.98886,0.2798968,5.375029,3.604872,ACCELERATE
-1,6.521688,6.489077,4.611207,4.588794,15.98879,0.279045,6.195311,3.70723,ACCELERATE
-1,6.52189,6.488882,4.611274,4.588727,15.98872,0.279397,7.041105,3.801484,ACCELERATE
-1,6.522091,6.488681,4.611357,4.588645,15.98864,0.2790487,8.021111,3.901086,ACCELERATE
-1,6.522351,6.488423,4.61146,4.588542,15.98854,0.2791907,9.146072,4.006707,ACCELERATE
-1,6.52259,6.488178,4.611568,4.588433,15.98843,0.2791278,10.20747,4.100243,ACCELERATE
-1,6.522898,6.487875,4.611708,4.588294,15.98829,0.2791796,11.41705,4.201407,ACCELERATE
-1,6.523229,6.487544,4.611866,4.588135,15.98813,0.2791519,12.65787,4.300621,ACCELERATE
-1,6.523614,6.487162,4.612059,4.587943,15.98794,0.2791647,13.98109,4.40248,ACCELERATE
-1,6.524019,6.486756,4.612269,4.587732,15.98772,0.2791582,15.34883,4.504418,ACCELERATE
-1,6.524463,6.486305,4.61251,4.587492,15.98748,0.2791606,16.73072,4.604669,ACCELERATE
-1,6.524947,6.485823,4.612773,4.587228,15.98722,0.2791587,18.14639,4.705072,ACCELERATE
-1,6.52548,6.485295,4.613068,4.586934,15.98692,0.2791587,19.59637,4.805951,ACCELERATE
-1,6.526013,6.484758,4.613372,4.586629,15.98661,0.2791583,21.00132,4.902155,ACCELERATE
-1,6.526639,6.484147,4.613728,4.586274,15.98626,0.2791582,22.5079,5.003923,ACCELERATE
-1,6.527233,6.483544,4.614079,4.585923,15.9859,0.2791585,23.93969,5.100056,ACCELERATE
-1,6.527906,6.48287,4.614478,4.585523,15.9855,0.2791601,25.45529,5.201806,ACCELERATE
-1,6.528641,6.482141,4.614916,4.585085,15.98506,0.2791598,26.9984,5.305404,ACCELERATE
-1,6.529357,6.481425,4.61535,4.584652,15.98462,0.2791601,28.45145,5.402955,ACCELERATE
-1,6.530109,6.480674,4.615809,4.584193,15.98416,0.2791597,29.91204,5.501011,ACCELERATE
-1,6.53093,6.479851,4.616314,4.583688,15.98365,0.2791598,31.44194,5.603721,ACCELERATE
19.36392,6.519502,6.490582,4.616827,4.583176,15.98314,0.2791602,32.91472,5.702597,ACCELERATE
17.89561,6.446758,6.604465,4.617361,4.582642,15.9826,0.2791601,34.384,5.801235,ACCELERATE
16.44482,6.291097,6.92651,4.617912,4.58209,15.98202,0.27916,35.91544,5.904048,ACCELERATE
15.27928,6.138875,7.371517,4.625549,4.572453,15.9625,0.2791598,37.40733,6.004235,LEFT_ACCELERATE
14.29299,5.98884,8.000138,4.639783,4.560229,15.88914,0.2791605,38.86922,6.102517,ACCELERATE
12.78107,5.644247,10.91095,4.580689,4.655904,15.81277,0.2791607,40.37601,6.203807,ACCELERATE
11.59565,5.299139,-1,4.445529,4.845657,15.7207,0.2791606,41.89363,6.305901,LEFT_ACCELERATE
11.37613,5.148846,-1,4.294024,4.982787,15.53359,0.2791692,43.29276,6.400811,LEFT_ACCELERATE
12.09019,5.257517,-1,4.215242,5.007432,15.10981,0.2791945,44.82496,6.507877,LEFT_ACCELERATE
12.84222,5.491005,10.54843,4.265501,4.931684,14.52767,0.2791887,46.1271,6.603898,LEFT_ACCELERATE
12.77369,5.555392,10.90283,4.358364,4.844818,13.81098,0.2791771,47.40894,6.702585,LEFT_ACCELERATE
11.60867,5.315522,-1,4.370154,4.87233,13.04963,0.279166,48.72436,6.804643,ACCELERATE
10.39795,4.960044,-1,4.264562,5.074315,12.32275,0.2791605,50.00975,6.903792,LEFT_ACCELERATE
9.980029,4.726224,-1,4.091211,5.271162,11.5526,0.2791657,51.21774,7.000082,LEFT_ACCELERATE
10.4169,4.677145,-1,3.932441,5.367709,10.56442,0.2791904,52.40993,7.104331,LEFT_ACCELERATE
11.71154,4.87773,19.71705,3.900573,5.319381,9.472832,0.2792052,53.35022,7.201424,LEFT_ACCELERATE
12.9149,5.148563,10.51893,3.990349,5.207891,8.212353,0.2791901,54.14545,7.301756,LEFT_ACCELERATE
