ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521032,6.489736,4.611081,4.58892,15.98892,0.2662002,3.105134,0.1142324,NONE
-1,6.520944,6.489819,4.611094,4.588907,15.98892,0.2733809,3.105032,0.2126654,NONE
-1,6.52093,6.489832,4.611088,4.588913,15.98892,0.2752641,3.105014,0.3068106,ACCELERATE
-1,6.520921,6.48984,4.611082,4.588919,15.98893,0.275674,3.10501,0.4001123,ACCELERATE
-1,6.520915,6.48985,4.611075,4.588926,15.98893,0.2757421,3.10501,0.5047538,ACCELERATE
-1,6.52091,6.489855,4.611072,4.58893,15.98894,0.2757453,3.10501,0.6030732,ACCELERATE
-1,6.520902,6.489863,4.611066,4.588935,15.98894,0.2757441,3.10501,0.7068615,ACCELERATE
-1,6.520892,6.48987,4.611061,4.58894,15.98895,0.2757435,3.10501,0.8043258,ACCELERATE
-1,6.520888,6.489878,4.611056,4.588945,15.98895,0.2757431,3.10501,0.9072248,ACCELERATE
-1,6.520878,6.489883,4.611052,4.58895,15.98896,0.2757432,3.10501,1.008318,NONE
-1,6.520881,6.489883,4.61105,4.588952,15.98896,0.2757433,3.10501,1.100071,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757432,3.10501,1.206947,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.10501,1.304621,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.10501,1.403874,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757432,3.10501,1.504142,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757433,3.10501,1.609946,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757434,3.10501,1.706116,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.10501,1.803663,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.10501,1.903588,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757435,3.10501,2.002905,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757433,3.10501,2.104542,LEFT_ACCELERATE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757431,3.10501,2.203176,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757434,3.10501,2.304764,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.10501,2.403285,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757432,3.10501,2.502602,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.275743,3.10501,2.602379,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.10501,2.701416,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.10501,2.801616,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757432,3.10501,2.902705,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757435,3.10501,3.004686,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757432,3.10501,3.102005,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757435,3.10501,3.204989,NONE
-1,6.520882,6.489884,4.611051,4.588951,15.98896,0.2757385,3.112115,3.301546,ACCELERATE
-1,6.520936,6.489831,4.611044,4.588957,15.98897,0.2757107,3.244333,3.406425,ACCELERATE
-1,6.520998,6.489764,4.611035,4.588966,15.98898,0.2757002,3.50647,3.503486,ACCELERATE
-1,6.52108,6.489689,4.611031,4.588971,15.98898,0.2756961,3.910638,3.603473,ACCELERATE
-1,6.521185,6.489584,4.611041,4.58896,15.98896,0.2776127,4.422077,3.701132,ACCELERATE
-1,6.521518,6.489245,4.611104,4.588897,15.98889,0.2802695,5.080729,3.804223,ACCELERATE
-1,6.521636,6.489134,4.611176,4.588826,15.98882,0.2786517,5.813211,3.901216,ACCELERATE
-1,6.521813,6.488953,4.611242,4.588759,15.98875,0.2794654,6.674127,4.001737,ACCELERATE
-1,6.522005,6.488762,4.611324,4.588677,15.98867,0.2790755,7.654347,4.104756,ACCELERATE
