ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,-1,-1,-1,-1,15.98891,0.25,3.105525,0.02,,NONE
-1,6.521063,6.489699,4.61109,4.588911,15.98891,0.254015,3.1054,0.04,,ACCELERATE
-1,6.521032,6.489736,4.611081,4.58892,15.98892,0.2665136,3.105128,0.1167214,,ACCELERATE
-1,6.520953,6.489811,4.611088,4.588913,15.98892,0.2690089,3.105089,0.1403742,,ACCELERATE
-1,6.520954,6.489811,4.611092,4.58891,15.98892,0.2699941,3.105075,0.1524,,ACCELERATE
-1,6.520947,6.489816,4.611092,4.58891,15.98892,0.2705696,3.105067,0.1594233,,ACCELERATE
-1,6.52095,6.489818,4.611093,4.588909,15.98892,0.2710471,3.105062,0.1666895,,ACCELERATE
-1,6.52095,6.489816,4.611093,4.588909,15.98892,0.271621,3.105054,0.1756074,,ACCELERATE
-1,6.520947,6.489818,4.611094,4.588908,15.98892,0.2721824,3.105047,0.185599,,ACCELERATE
-1,6.520946,6.489819,4.611094,4.588908,15.98892,0.2725333,3.105042,0.192647,,ACCELERATE
-1,6.520945,6.48982,4.611094,4.588908,15.98892,0.2728716,3.105038,0.1994419,,ACCELERATE
-1,6.520945,6.489819,4.611094,4.588908,15.98892,0.2731707,3.105035,0.2071357,,ACCELERATE
-1,6.520945,6.48982,4.611094,4.588908,15.98892,0.2735529,3.105031,0.21719,,ACCELERATE
-1,6.52094,6.489821,4.611093,4.588909,15.98892,0.2737624,3.105028,0.223583,,ACCELERATE
-1,6.52094,6.489822,4.611093,4.588909,15.98892,0.2739362,3.105026,0.2296413,,ACCELERATE
-1,6.520942,6.489823,4.611092,4.58891,15.98892,0.2741587,3.105024,0.2373968,,ACCELERATE
-1,6.520942,6.489822,4.611092,4.58891,15.98892,0.2743077,3.105022,0.2434781,,ACCELERATE
-1,6.52094,6.489826,4.611093,4.588909,15.98892,0.2745085,3.105021,0.2528608,,ACCELERATE
-1,6.520941,6.489827,4.611092,4.58891,15.98892,0.2746274,3.105019,0.2584115,,ACCELERATE
-1,6.520936,6.48983,4.611091,4.588911,15.98892,0.27474,3.105018,0.2649875,,ACCELERATE
-1,6.520933,6.489829,4.61109,4.588912,15.98892,0.2750617,3.105015,0.287343,,ACCELERATE
-1,6.520938,6.48983,4.61109,4.588912,15.98892,0.2751965,3.105014,0.29905,,ACCELERATE
-1,6.52093,6.489832,4.611088,4.588913,15.98892,0.2753143,3.105013,0.312856,,ACCELERATE
-1,6.520931,6.489834,4.611087,4.588914,15.98892,0.2753802,3.105012,0.3211084,,ACCELERATE
