ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521032,6.489736,4.611081,4.58892,15.98892,0.2668234,3.105123,0.1191809,NONE
-1,6.520941,6.48982,4.611093,4.588909,15.98892,0.272943,3.105037,0.2011494,NONE
-1,6.520934,6.489832,4.611089,4.588912,15.98892,0.2752534,3.105013,0.3055225,NONE
-1,6.520924,6.48984,4.61108,4.588921,15.98893,0.2756845,3.10501,0.4079202,NONE
-1,6.520916,6.489851,4.611075,4.588926,15.98893,0.2757415,3.10501,0.5015497,NONE
-1,6.52091,6.489856,4.611072,4.58893,15.98894,0.2757455,3.10501,0.6055783,NONE
-1,6.520902,6.489864,4.611066,4.588935,15.98894,0.2757443,3.10501,0.7039075,NONE
-1,6.520893,6.48987,4.611061,4.58894,15.98895,0.2757435,3.10501,0.8080513,ACCELERATE
-1,6.520888,6.489877,4.611056,4.588945,15.98895,0.2757434,3.10501,0.906716,ACCELERATE
-1,6.520878,6.489883,4.611052,4.58895,15.98896,0.2757434,3.10501,1.001867,ACCELERATE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757432,3.10501,1.100882,ACCELERATE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757435,3.10501,1.205291,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757435,3.10501,1.303329,ACCELERATE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.10501,1.408882,ACCELERATE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.10501,1.501057,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.10501,1.600702,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757431,3.10501,1.707664,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.10501,1.803431,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.10501,1.908355,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.10501,2.00334,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.10501,2.104097,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.10501,2.20116,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757431,3.10501,2.302254,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757432,3.10501,2.406355,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.10501,2.503403,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757443,3.10501,2.602088,ACCELERATE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757437,3.10501,2.703553,ACCELERATE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757432,3.105011,2.806454,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.275743,3.105011,2.904261,ACCELERATE
